PRIMARY ARTICUL;ALTERNATIVE ARTICUL;BRAND
BPR7HIX;5944;ngk
BPR6E;6464;ngk
R0409B-8;7791;ngk
BPR6HS-10;2633;ngk
BKR6EY;3696;ngk
ZFR5F;5165;ngk
BP5ES;6511;ngk
BPR6EIX;6637;ngk
BPR5EIX-11;2115;ngk
BKR6EYA;2249;ngk
BKR6EKC;2848;ngk
BKR6EKB-11;3583;ngk
BKR6EKB-11;4198;ngk
BKR6EKB-11;7775;ngk
BKR6EYA-11;4073;ngk
BKR6EYA-11;4195;ngk
BKR6EYA-11;7762;ngk
BPZ8H-N-10;4495;ngk
IRIWAY7;4558;ngk
BP5ET-10;5156;ngk
BKR5EYA;2087;ngk
BKR6EP-11;2978;ngk
BKR5EQUPA;3566;ngk
ZFR5G-P;6893;ngk
BPR5E;7075;ngk
BPR5EY;2828;ngk
IZFR6B;3116;ngk
R7434-10;4894;ngk
PGR6D;6248;ngk
ZFR6S-Q;6449;ngk
DR8EA;7162;ngk
DR7EA;7839;ngk
ITR6F-13;4477;ngk
R7434-9;4658;ngk
BP8H-N-10;4838;ngk
BKR6EZ;4619;ngk
DR5HS;4623;ngk
BUR6ET;2876;ngk
BUR6ET;3172;ngk
BCPR5EIX-11;3306;ngk
BUR5ET;3377;ngk
ZFR5FIX-11;2477;ngk
BKR6EIX-11;3764;ngk
BP5EY;4049;ngk
ZFR5A-11;5084;ngk
BMR4A;5728;ngk
BP6ES;7811;ngk
BKR5E;7938;ngk
BPR8HS-10;4839;ngk
BCPR6EIX-11;4919;ngk
DPR8EA-9;4929;ngk
PFR6G-11;5555;ngk
TR5IX;7397;ngk
DCP7E;2363;ngk
BPZ8HS-10;3133;ngk
BKR5EP-11;3440;ngk
ILZKR7A;1961;ngk
BPR7ES-11;7226;ngk
BPR6H;4553;ngk
CR4HSB;4695;ngk
PFR6W-TG;5547;ngk
BPR5E-11;5638;ngk
BCPR5EP-11;2097;ngk
DCP6E;2256;ngk
BKR6EK;2288;ngk
BCPR6ES;2330;ngk
CR6HS;7023;ngk
PFR7S8EG;1675;ngk
IZFR6K-11S;5266;ngk
BKUR6ET;6437;ngk
LTR6B-10T;5948;ngk
BCRE527Y;2074;ngk
APR6FS;2922;ngk
BP5EY-11;4028;ngk
BP8HS-10;3823;ngk
PFR6G;4793;ngk
BR8EIX;5044;ngk
LFR6C-11;5788;ngk
PLFR5A-11;6240;ngk
BPR7E;1142;ngk
BKR5ES;2460;ngk
BCPR7ES;3330;ngk
D7EA;7912;ngk
D7EA;7921;ngk
BKR6EN-11;5724;ngk
ITR5F-13;6044;ngk
DF7H-11B;1317;ngk
BKR5EKUP;2890;ngk
R7434-8;4892;ngk
BKR6ES;3783;ngk
BPR6EIX-11;3903;ngk
RE7C-L;5744;ngk
CR9EHIX-9;6216;ngk
CR9E;6263;ngk
PFR6Q;6458;ngk
LFR6AIX-11;6619;ngk
D8EA;2120;ngk
PLKR7A;4288;ngk
BM4A;5628;ngk
BUR5ET-10;7264;ngk
PFR5J-11;4642;ngk
IFR6B-K;4867;ngk
CR10EK;2360;ngk
IZFR5B;4080;ngk
BR7HS;4122;ngk
BP6E;7529;ngk
IZKR7B;7563;ngk
IFR5E-11;7994;ngk
BPR7ES;2023;ngk
TR5B-13;4559;ngk
ZFR5J-11;5584;ngk
